cidade,estado,bairro,tipo,m2,quartos,banheiros,garagem,valor,endereco,link
Goiania,GO,Jardim América,APARTAMENTO,90²,3,2,2, 2400Cond: 500,Rua C 167,https://www.chavesnamao.com.br/imovel/apartamento-para-alugar-3-quartos-com-garagem-go-goiania-jardim-america-90m2-RS2400/id-31922772/
Goiania,GO,Park Lozandes,EUROPARK,153²,3,5,2,1436648.0,"Avenida Pl 2-qd.h5 Lt.01/12, 115",https://www.chavesnamao.com.br/imovel/apartamento-a-venda-3-quartos-com-garagem-go-goiania-park-lozandes-153m2-RS1436648/id-31358157/
Goiania,GO,Setor Marista,CONDOMINIO,39²,1,1,,2700.0,Endereço indisponível,https://www.chavesnamao.com.br/imovel/apartamento-para-alugar-1-quarto-com-garagem-go-goiania-setor-marista-39m2-RS2700/id-29245524/
Goiania,GO,Setor Marista,APARTAMENTO,78²,2,2,,810000.0,Rua 146,https://www.chavesnamao.com.br/imovel/apartamento-a-venda-2-quartos-com-garagem-go-goiania-setor-marista-RS810000/id-30979911/
Goiania,GO,Parque Amazônia,ALUGUEL,71²,3,2,2, 3350Cond: 600,Rua Hárpia,https://www.chavesnamao.com.br/imovel/apartamento-para-alugar-3-quartos-com-garagem-go-goiania-parque-amazonia-RS3350/id-31504912/
Goiania,GO,Setor Pedro Ludovico,APARTAMENTO,69²,2,2,,533000.0,Rua 1030,https://www.chavesnamao.com.br/imovel/apartamento-a-venda-2-quartos-com-garagem-go-goiania-setor-pedro-ludovico-RS533000/id-30060737/
Goiania,GO,Setor Sul,CASA,106²,3,2,4,7000.0,"Rua 117, sn",https://www.chavesnamao.com.br/imovel/casa-para-alugar-3-quartos-com-garagem-go-goiania-setor-sul-215m2-RS7000/id-27640735/
Goiania,GO,Residencial Eldorado,APARTAMENTO,51²,2,1,, 320000Cond: 329,Rua Luiz Barbosa,https://www.chavesnamao.com.br/imovel/apartamento-a-venda-2-quartos-com-garagem-go-goiania-residencial-eldorado-RS320000/id-30371459/
Goiania,GO,Setor Progresso,CASA,650²,4,6,2, 11250Iptu: 455,Rua El Grego Q 23,https://www.chavesnamao.com.br/imovel/casa-para-alugar-4-quartos-com-garagem-go-goiania-setor-progresso-650m2-RS11250/id-31888205/
Goiania,GO,Setor Bueno,APARTAMENTO,90²,2,3,2, 3560Cond: 1050,Rua T-59,https://www.chavesnamao.com.br/imovel/apartamento-para-alugar-2-quartos-com-garagem-go-goiania-setor-bueno-90m2-RS3560/id-31888582/
Goiania,GO,Setor Oeste,VENDO,106²,3,2,2, 460000Cond: 985000,"Rua 12, 457",https://www.chavesnamao.com.br/imovel/apartamento-a-venda-3-quartos-com-garagem-go-goiania-setor-oeste-152m2-RS460000/id-31529344/
Goiania,GO,Setor Marista,BELÍSSIMO,111²,3,4,2, 7500Cond: 830,"Rua 1141, 574",https://www.chavesnamao.com.br/imovel/apartamento-para-alugar-3-quartos-com-garagem-go-goiania-setor-marista-RS7500/id-28597029/
Goiania,GO,Alto da Glória,APARTAMENTO,77²,3,2,2, 833502Cond: 550,Rua Teresina,https://www.chavesnamao.com.br/imovel/apartamento-a-venda-3-quartos-com-garagem-go-goiania-alto-da-gloria-77m2-RS833502/id-27239589/
Goiania,GO,Setor Marista,APARTAMENTO,125²,3,4,2, 7000Cond: 600,Rua 1124,https://www.chavesnamao.com.br/imovel/apartamento-para-alugar-3-quartos-com-garagem-go-goiania-setor-marista-125m2-RS7000/id-31880540/
Goiania,GO,Setor Bueno,APARTAMENTO,120²,3,4,2, 1280000Cond: 100,"Rua T 28, 1840",https://www.chavesnamao.com.br/imovel/apartamento-a-venda-3-quartos-com-garagem-go-goiania-setor-bueno-120m2-RS1280000/id-18707003/
Goiania,GO,Setor Marechal Rondon,APARTAMENTO,65²,2,1,,2700.0,"Avenida Marginal Norte, 216",https://www.chavesnamao.com.br/imovel/apartamento-para-alugar-2-quartos-go-goiania-setor-marechal-rondon-65m2-RS2700/id-32028411/
Goiania,GO,Residencial Humaitá,SOBRADO,270²,4,3,4,1200000.0,Avenida Goiás Norte,https://www.chavesnamao.com.br/imovel/casa-a-venda-4-quartos-com-garagem-go-goiania-residencial-humaita-360m2-RS1200000/id-21560953/
Goiania,GO,Setor Oeste,APARTAMENTO,75²,1,1,2, 11900Cond: 500,Rua 22,https://www.chavesnamao.com.br/imovel/apartamento-para-alugar-1-quarto-com-garagem-go-goiania-setor-oeste-75m2-RS11900/id-31903141/
Goiania,GO,Capuava,CASA,400²,3,2,4, 630000Iptu: 1986,Rua Marília De Dirceu,https://www.chavesnamao.com.br/imovel/casa-a-venda-3-quartos-com-garagem-go-goiania-capuava-400m2-RS630000/id-28691803/
Goiania,GO,Parque Amazônia,CASA,284²,5,2,4, 3549Iptu: 250,Avenida Piratininga,https://www.chavesnamao.com.br/imovel/casa-para-alugar-5-quartos-com-garagem-go-goiania-parque-amazonia-284m2-RS3549/id-31881775/
Goiania,GO,Setor Marista,FLUENCE,120²,3,4,2,2034974.0,Rua 1128,https://www.chavesnamao.com.br/imovel/apartamento-a-venda-3-quartos-com-garagem-go-goiania-setor-marista-120m2-RS2034974/id-30011476/
Goiania,GO,Serrinha,APARTAMENTO,89²,3,2,2, 3000Cond: 701,Avenida T-5,https://www.chavesnamao.com.br/imovel/apartamento-para-alugar-3-quartos-com-garagem-go-goiania-serrinha-89m2-RS3000/id-31889602/
Goiania,GO,Jardim Atlântico,CASA,251²,4,4,4,1600000.0,"Rua Da Albacora, 1",https://www.chavesnamao.com.br/imovel/casa-a-venda-4-quartos-com-garagem-go-goiania-jardim-atlantico-420m2-RS1600000/id-21364845/
Goiania,GO,Jardim Novo Mundo,APARTAMENTO,290²,4,5,2, 7500Cond: 1700,Rua 12,https://www.chavesnamao.com.br/imovel/apartamento-para-alugar-4-quartos-com-garagem-go-goiania-jardim-novo-mundo-290m2-RS7500/id-31888475/
Goiania,GO,Jardim Goiás,APARTAMENTO,55²,1,1,, 2539Cond: 550,Rua 14,https://www.chavesnamao.com.br/imovel/apartamento-para-alugar-1-quarto-com-garagem-go-goiania-jardim-goias-55m2-RS2539/id-31888935/
Goiania,GO,Loteamento Portal do Sol II,CASA,250²,3,3,4, 2490000Cond: 850,"Rua Sb 34, 00",https://www.chavesnamao.com.br/imovel/casa-em-condominio-a-venda-3-quartos-com-garagem-go-goiania-loteamento-portal-do-sol-ii-428m2-RS2490000/id-32032473/
Goiania,GO,Setor Oeste,APARTAMENTO,29²,1,1,, 2464Cond: 650,Rua 9,https://www.chavesnamao.com.br/imovel/apartamento-para-alugar-1-quarto-com-garagem-go-goiania-setor-oeste-29m2-RS2464/id-32023973/
Goiania,GO,Jardim Presidente,CASA,134²,3,3,3,810000.0,Rua Presidente Café Filho,https://www.chavesnamao.com.br/imovel/casa-a-venda-3-quartos-com-garagem-go-goiania-jardim-presidente-218m2-RS810000/id-31624766/
Goiania,GO,Setor Pedro Ludovico,APARTAMENTO,80²,3,2,, Confira,"Rua 1007, 40",https://www.chavesnamao.com.br/imovel/apartamento-para-alugar-3-quartos-com-garagem-go-goiania-setor-pedro-ludovico-80m2/id-31622047/
Goiania,GO,Setor Oeste,RESERVA,185²,3,5,3, 2760000Cond: 900,Rua 12,https://www.chavesnamao.com.br/imovel/apartamento-a-venda-3-quartos-com-garagem-go-goiania-setor-oeste-185m2-RS2760000/id-29018010/
Goiania,GO,Santa Genoveva,CASA,385²,5,4,3, 4800Iptu: 150,"Avenida Das Indústrias, 00",https://www.chavesnamao.com.br/imovel/casa-para-alugar-5-quartos-com-garagem-go-goiania-santa-genoveva-RS4800/id-30703752/
Goiania,GO,Setor Sudoeste,DUPLEX,228²,4,3,2, 550000Cond: 200,"Avenida C-8, 19",https://www.chavesnamao.com.br/imovel/apartamento-a-venda-4-quartos-com-garagem-go-goiania-setor-sudoeste-228m2-RS550000/id-29020204/
Goiania,GO,Setor Marista,RUA,420²,3,4,4,14000.0,Rua 27,https://www.chavesnamao.com.br/imovel/casa-para-alugar-3-quartos-com-garagem-go-goiania-setor-marista-420m2-RS14000/id-25630060/
Goiania,GO,Parque Industrial Paulista,APARTAMENTO,61²,2,2,, 270000Cond: 398,"Rua Penido Burnier, SN",https://www.chavesnamao.com.br/imovel/apartamento-a-venda-2-quartos-com-garagem-go-goiania-parque-industrial-paulista-73m2-RS270000/id-29019039/
