estado,cidade,bairro,tipo,quartos,m2,valor
GO,SENADOR CANEDO,CONDOMÍNIO TERRAS ALPHA 1,CASA,3,151,950000
GO,SENADOR CANEDO,JARDINS PARMA,CASA,4,205,1440000
GO,GOIANIA,SETOR FAICALVILLE,APARTAMENTO,2,50,400000
GO,GOIANIA,SETOR NOVA SUICA,APARTAMENTO,2,58,380000
GO,GOIANIA,VILA ROSA,APARTAMENTO,3,125,860000
GO,GOIANIA,SETOR BUENO,APARTAMENTO,3,97,900000
GO,GOIANIA,RESIDENCIAL NUNES DE MORAIS 1 ETAPA,APARTAMENTO,2,56,220000
GO,GOIANIA,SETOR OESTE,APARTAMENTO,3,94,495000
GO,GOIANIA,RESIDENCIAL PAULO ESTRELA,CASA,3,102,398000
GO,GOIANIA,JARDIM ATLANTICO,CASA,4,248,1790000
GO,GOIANIA,JARDIM ATLANTICO,APARTAMENTO,3,106,750000
GO,GOIANIA,SETOR NEGRAO DE LIMA,APARTAMENTO,2,64,320000
GO,SENADOR CANEDO,CONDOMINIO ALTO DA BOA VISTA,TERRENO,0,470,450000
GO,GOIANIA,SETOR BUENO,APARTAMENTO,3,77,645000
GO,GOIANIA,PARQUE AMAZONIA,APARTAMENTO,3,65,420000
GO,GOIANIA,JARDIM GOIÁS,APARTAMENTO,3,106,989000
GO,GOIANIA,RESIDENCIAL ALDEIA DO VALE,TERRENO,0,14317,4477244
GO,GOIANIA,BAIRRO GOIÁ 2,CASA,3,120,495000
GO,GOIANIA,JARDIM AMÉRICA,APARTAMENTO,2,110,790000
GO,GOIANIA,SETOR MARISTA,APARTAMENTO,3,129,1299000
GO,GOIANIA,CARDOSO,CASA,3,120,470000
GO,GOIANIA,RESIDENCIAL FLAMINGO,CASA,3,115,505000
GO,GOIANIA,ALPHAVILLE ARAGUAIA,CASA,5,564,4990000
GO,GOIANIA,VILA ROSA,APARTAMENTO,2,57,329900
GO,GOIANIA,SETOR OESTE,CASA,4,240,1500000
GO,GOIANIA,JARDIM EUROPA,CASA,4,223,1650000
GO,GOIANIA,SETOR CENTRAL,INDEFINIDO,0,510,4000000
GO,GOIANIA,SETOR LESTE UNIVERSITARIO,APARTAMENTO,3,176,1584990
GO,GOIANIA,JARDIM AMÉRICA,APARTAMENTO,4,253,2650000
GO,GOIANIA,SETOR BUENO,APARTAMENTO,3,206,2740000
GO,GOIANIA,CARDOSO CONTINUACAO,CASA,3,125,450000
GO,GOIANIA,PARQUE VEIGA JARDIM,CASA,3,117,490000
GO,GOIANIA,VILA ROSA,APARTAMENTO,3,75,389900
GO,GOIANIA,VILA ROSA,APARTAMENTO,3,75,389900
GO,GOIANIA,SETOR LESTE UNIVERSITARIO,APARTAMENTO,3,100,1100000
GO,GOIANIA,JARDIM RIO GRANDE,TERRENO,0,720,300000
GO,GOIANIA,JARDIM AMÉRICA,APARTAMENTO,3,130,1200000
GO,GOIANIA,SETOR MARISTA,APARTAMENTO,3,120,1500000
GO,GOIANIA,SETOR BUENO,APARTAMENTO,2,60,514990
GO,GOIANIA,SETOR PONTAL SUL,CASA,3,117,480000
GO,GOIANIA,SETOR PEDRO LUDOVICO,APARTAMENTO,2,60,514000
GO,GOIANIA,RESIDENCIAL ALDEIA DO VALE,CASA,4,375,3500000
GO,GOIANIA,SETOR OESTE,APARTAMENTO,4,130,750000
GO,GOIANIA,JARDIM AMÉRICA,APARTAMENTO,2,77,450000
GO,GOIANIA,CIDADE SATELITE SAO LUIZ,CASA,3,122,460000
GO,GOIANIA,SETOR MARISTA,APARTAMENTO,4,344,2850000
GO,GOIANIA,SETOR PONTAL SUL,CASA,3,227,450000
GO,GOIANIA,SETOR BUENO,APARTAMENTO,2,91,395000
GO,GOIANIA,JARDIM DAS HORTENSIAS,CASA,3,106,500000
GO,SENADOR CANEDO,JARDINS BARCELONA,CASA,3,237,2100000
GO,GOIANIA,VILA LUCY,APARTAMENTO,3,69,470000
GO,GOIANIA,PARQUE SANTA CECILIA,CASA,3,112,450000
GO,GOIANIA,JARDIM HELVECIA,CASA,3,117,460000
GO,GOIANIA,PARQUE FLAMBOYANT,CASA,3,117,450000
GO,GOIANIA,SETOR MARISTA,TERRENO,0,568,2200000
GO,GOIANIA,SETOR BUENO,APARTAMENTO,2,68,560000
GO,GOIANIA,JARDIM AMÉRICA,APARTAMENTO,4,89,390000
GO,GOIANIA,SETOR BELA VISTA,APARTAMENTO,2,76,430000
GO,GOIANIA,PARQUE AMAZONIA,CASA,3,97,499000
GO,GOIANIA,SETOR OESTE,APARTAMENTO,2,72,398000
GO,GOIANIA,SETOR SANTOS DUMONT,CASA,2,88,350000
GO,GOIANIA,BAIRRO GOIÁ 2,CASA,3,120,495000
GO,GOIANIA,SETOR MARISTA,APARTAMENTO,4,159,1500000
GO,GOIANIA,SETOR BUENO,CASA,4,180,990000
GO,GOIANIA,VILA ROSA,APARTAMENTO,3,75,389900
GO,GOIANIA,SETOR CRIMEIA OESTE,APARTAMENTO,3,78,132000
GO,GOIANIA,SETOR PEDRO LUDOVICO,CASA,3,585,2300000
GO,GOIANIA,SETOR PONTAL SUL,CASA,3,117,480000
GO,GOIANIA,PARQUE ANHANGUERA,CASA,4,268,1250000
GO,GOIANIA,SETOR SERRA DOURADA,CASA,3,117,490000
GO,GOIANIA,SETOR BELA VISTA,APARTAMENTO,2,76,430000
GO,GOIANIA,PARQUE FLAMBOYANT,INDEFINIDO,7,360,1000000
GO,GOIANIA,SETOR MORADA DOS PASSAROS,CASA,3,130,500000
GO,GOIANIA,SETOR MARISTA,APARTAMENTO,4,242,2980000
GO,GOIANIA,SETOR MARISTA,APARTAMENTO,3,126,1495000
GO,GOIANIA,SANTA GENOVEVA,INDEFINIDO,0,1919,20000000
GO,GOIANIA,JARDIM GOIÁS,APARTAMENTO,3,104,900000
GO,GOIANIA,SETOR BUENO,APARTAMENTO,4,144,1050000
GO,GOIANIA,SETOR BUENO,APARTAMENTO,3,122,1468000
GO,GOIANIA,SETOR COIMBRA,CASA,3,450,750000
GO,GOIANIA,CIDADE JARDIM,APARTAMENTO,3,146,330000
GO,GOIANIA,SETOR MARISTA,APARTAMENTO,2,72,719000
GO,GOIANIA,SETOR BUENO,APARTAMENTO,2,68,736000
GO,GOIANIA,JARDINS MÔNACO,CASA,4,536,4700000
GO,GOIANIA,JARDIM AMÉRICA,APARTAMENTO,3,112,550000
GO,GOIANIA,PORTAL DO SOL GREEN,CASA,4,283,3150000
GO,GOIANIA,MANSOES PARAISO,CASA,3,150,500000
GO,GOIANIA,PARQUE OESTE INDUSTRIAL,APARTAMENTO,3,66,404700
GO,GOIANIA,SETOR OESTE,APARTAMENTO,3,126,1200000
GO,GOIANIA,RESIDENCIAL ALDEIA DO VALE,CASA,6,1380,27000000
GO,GOIANIA,SETOR NEGRAO DE LIMA,APARTAMENTO,2,64,350000
GO,GOIANIA,SETOR BUENO,APARTAMENTO,3,155,1250000
GO,GOIANIA,JARDINS VIENA,CASA,3,117,450000
GO,GOIANIA,SETOR MARISTA,APARTAMENTO,4,120,479000
GO,GOIANIA,SETOR LESTE UNIVERSITARIO,CASA,2,229,1100000
GO,GOIANIA,SETOR OESTE,APARTAMENTO,2,72,420000
GO,GOIANIA,SETOR SERRA DOURADA,CASA,3,127,490000
GO,GOIANIA,JARDINS VIENA,CASA,3,117,450000
GO,GOIANIA,SETOR OESTE,APARTAMENTO,3,95,420000
GO,GOIANIA,VILA ROSA,APARTAMENTO,3,75,389900
GO,GOIANIA,SETOR SANTOS DUMONT,CASA,2,60,270000
GO,SENADOR CANEDO,RESIDENCIAL VALE VERDE,CASA,3,396,2000000
GO,GOIANIA,RESIDENCIAL ALPHAVILLE,CASA,5,447,7200000
GO,GOIANIA,SETOR OESTE,APARTAMENTO,2,60,567000
GO,GOIANIA,SETOR COIMBRA,APARTAMENTO,2,62,480000
GO,GOIANIA,PARQUE ANHANGUERA,CASA,3,200,1480000
GO,GOIANIA,SETOR FAICALVILLE,CASA,3,135,728000
GO,GOIANIA,SETOR LESTE UNIVERSITARIO,APARTAMENTO,3,94,750000
GO,GOIANIA,SETOR MARISTA,APARTAMENTO,3,194,2183673
GO,GOIANIA,ALTO DA GLÓRIA,APARTAMENTO,3,92,690000
GO,GOIANIA,SETOR BUENO,APARTAMENTO,3,138,1575000
GO,GOIANIA,SETOR MARISTA,APARTAMENTO,3,167,1950000
GO,GOIANIA,PARK LOZANDES,INDEFINIDO,0,772,10315000
GO,GOIANIA,PARQUE AMAZONIA,CASA,3,206,1850000
GO,GOIANIA,VILA ROSA,APARTAMENTO,3,125,860000
GO,GOIANIA,JARDIM EUROPA,APARTAMENTO,3,97,770000
GO,GOIANIA,RESIDENCIAL ELDORADO EXPANSAO,APARTAMENTO,3,109,890000
GO,GOIANIA,SETOR MARISTA,APARTAMENTO,2,72,845000
GO,GOIANIA,SETOR BUENO,APARTAMENTO,2,73,877385
GO,GOIANIA,SETOR FAICALVILLE,APARTAMENTO,2,50,400000
GO,GOIANIA,SETOR FAICALVILLE,CASA,3,365,1300000
GO,GOIANIA,SETOR BUENO,APARTAMENTO,3,116,620000
GO,GOIANIA,RESIDENCIAL BUENA VISTA I,INDEFINIDO,0,230,450000
GO,GOIANIA,SETOR BUENO,APARTAMENTO,1,44,561224
GO,GOIANIA,SANTA GENOVEVA,CASA,3,172,1040000
GO,GOIANIA,JARDIM AMÉRICA,CASA,3,148,930000
GO,GOIANIA,SETOR SANTA LUZIA,CASA,3,114,550000
GO,GOIANIA,SETOR BUENO,APARTAMENTO,4,261,3190000
GO,GOIANIA,SETOR NOVA SUICA,APARTAMENTO,3,125,700000
GO,GOIANIA,RESIDENCIAL ALDEIA DO VALE,TERRENO,0,3014,3400000
GO,GOIANIA,SETOR BUENO,APARTAMENTO,3,75,650000
