titulo,bairro,descricao,m2,quartos,banheiros,garagem,valor,link
"Rua C 238, JARDIM AMERICA, GOIANIA",JARDIM AMERICA,Venda Apartamento 130 m²,130.0,3.0,,,1200000.0,https://www.62imoveis.com.br/imovel/apartamento-3-quartos-venda-jardim-america-goiania-go-rua-c-238-1106872
"Rua 1128, SETOR MARISTA, GOIANIA",SETOR MARISTA,Venda Apartamento 120 m²,120.0,3.0,,,1500000.0,https://www.62imoveis.com.br/imovel/apartamento-3-quartos-venda-setor-marista-goiania-go-rua-1128-1162544
"AVENIDA T 04, SETOR BUENO, GOIANIA",SETOR BUENO,Venda Apartamento 60 m²,60.0,2.0,,,514990.0,https://www.62imoveis.com.br/imovel/apartamento-2-quartos-venda-setor-bueno-goiania-go-avenida-t-04-1178143
"Rua ORTITA, SETOR PONTAL SUL, APARECIDA DE GOIANIA",SETOR PONTAL SUL,Venda Casa 117 m²,117.0,3.0,,,480000.0,https://www.62imoveis.com.br/imovel/casa-3-quartos-venda-setor-pontal-sul-aparecida-de-goiania-go-rua-ortita-1126687
"Rua 1034, SETOR PEDRO LUDOVICO, GOIANIA",SETOR PEDRO LUDOVICO,Venda Apartamento 60 m²,60.0,2.0,,,514000.0,https://www.62imoveis.com.br/imovel/apartamento-2-quartos-venda-setor-pedro-ludovico-goiania-go-rua-1034-1112778
"ALAMEDA DAS CARAIBAS, RESIDENCIAL ALDEIA DO VALE, GOIANIA",,Venda Casa Condominio 375 m²,375.0,4.0,,,3500000.0,https://www.62imoveis.com.br/imovel/casa-condominio-4-quartos-venda-residencial-aldeia-do-vale-goiania-go-alameda-das-caraibas-1056228
"Rua 12, SETOR OESTE, GOIANIA",SETOR OESTE,Venda Apartamento 130 m²,130.0,4.0,,,750000.0,https://www.62imoveis.com.br/imovel/apartamento-4-quartos-venda-setor-oeste-goiania-go-rua-12-1180175
"Rua C 38, JARDIM AMERICA, GOIANIA",,Venda Apartamento 77 m²,77.0,2.0,,,450000.0,https://www.62imoveis.com.br/imovel/apartamento-2-quartos-venda-jardim-america-goiania-go-rua-c-38-1177950
"Rua BERNARDO GUIMARAES, CIDADE SATELITE SAO LUIZ, APARECIDA DE GOIANIA",,Venda Casa 122 m²,122.0,3.0,,,460000.0,https://www.62imoveis.com.br/imovel/casa-3-quartos-venda-cidade-satelite-sao-luiz-aparecida-de-goiania-go-rua-bernardo-guimaraes-844606
"Rua 1141, SETOR MARISTA, GOIANIA",SETOR MARISTA,Venda Apartamento 344 m²,344.0,4.0,,,2850000.0,https://www.62imoveis.com.br/imovel/apartamento-4-quartos-venda-setor-marista-goiania-go-rua-1141-1097929
"Rua MINIO, SETOR PONTAL SUL, APARECIDA DE GOIANIA",SETOR PONTAL SUL,Venda Casa 227 m²,227.0,3.0,,,450000.0,https://www.62imoveis.com.br/imovel/casa-3-quartos-venda-setor-pontal-sul-aparecida-de-goiania-go-rua-minio-1126684
"Rua T 36 ATE 3879 LADO IMPAR, SETOR BUENO, GOIANIA",SETOR BUENO,Venda Apartamento 91 m²,91.0,2.0,,,395000.0,https://www.62imoveis.com.br/imovel/apartamento-2-quartos-venda-setor-bueno-goiania-go-rua-t-36-ate-3879-lado-impar-1052850
"AVENIDA CONTORNO, JARDIM DAS HORTENSIAS, GOIANIA",,Venda Casa 106 m²,106.0,3.0,,,500000.0,https://www.62imoveis.com.br/imovel/casa-3-quartos-venda-jardim-das-hortensias-goiania-go-avenida-contorno-1153885
"Rua Volturno, JARDINS BARCELONA, SENADOR CANEDO",,Venda Casa Condominio 237 m²,237.0,3.0,,,2100000.0,https://www.62imoveis.com.br/imovel/casa-condominio-3-quartos-venda-jardins-barcelona-senador-canedo-go-rua-volturno-1109553
"AVENIDA B, VILA LUCY, GOIANIA",,Venda Apartamento 69 m²,69.0,3.0,,,470000.0,https://www.62imoveis.com.br/imovel/apartamento-3-quartos-venda-vila-lucy-goiania-go-avenida-b-1178251
"Rua 12, PARQUE SANTA CECILIA, APARECIDA DE GOIANIA",,Venda Casa 112 m²,112.0,3.0,,,450000.0,https://www.62imoveis.com.br/imovel/casa-3-quartos-venda-parque-santa-cecilia-aparecida-de-goiania-go-rua-12-832092
"AVENIDA ARuaNA, JARDIM HELVECIA, APARECIDA DE GOIANIA",,Venda Casa 117 m²,117.0,3.0,,,460000.0,https://www.62imoveis.com.br/imovel/casa-3-quartos-venda-jardim-helvecia-aparecida-de-goiania-go-avenida-aruana-1144156
"AVENIDA SANTA RITA, PARQUE FLAMBOYANT, APARECIDA DE GOIANIA",,Venda Casa 117 m²,117.0,3.0,,,450000.0,https://www.62imoveis.com.br/imovel/casa-3-quartos-venda-parque-flamboyant-aparecida-de-goiania-go-avenida-santa-rita-1067763
"Rua T 08, SETOR MARISTA, GOIANIA",SETOR MARISTA,Venda Lote/Terreno/Área 568 m²,568.0,,,,2200000.0,https://www.62imoveis.com.br/imovel/lote-terreno-rea-0-quartos-venda-setor-marista-goiania-go-rua-t-08-749770
"AVENIDA T 09, SETOR BUENO, GOIANIA",SETOR BUENO,Venda Apartamento 68 m²,68.0,2.0,,,560000.0,https://www.62imoveis.com.br/imovel/apartamento-2-quartos-venda-setor-bueno-goiania-go-avenida-t-09-1052661
"AVENIDA C 182, JARDIM AMERICA, GOIANIA",,Venda Apartamento 89 m²,89.0,4.0,,,390000.0,https://www.62imoveis.com.br/imovel/apartamento-4-quartos-venda-jardim-america-goiania-go-avenida-c-182-1029426
"Rua S 06, SETOR BELA VISTA, GOIANIA",SETOR BELA VISTA,Venda Apartamento 76 m²,76.0,2.0,,,430000.0,https://www.62imoveis.com.br/imovel/apartamento-2-quartos-venda-setor-bela-vista-goiania-go-rua-s-06-1177944
"PRACA UBIM, PARQUE AMAZONIA, GOIANIA",,Venda Casa Condominio 97 m²,97.0,3.0,,,499000.0,https://www.62imoveis.com.br/imovel/casa-condominio-3-quartos-venda-parque-amazonia-goiania-go-praca-ubim-1144070
"Rua 06, VILA JOAO LUIZ DE OLIVEIRA, ANAPOLIS",,Venda Lote/Terreno/Área 3750 m²,3750.0,,,,650000.0,https://www.62imoveis.com.br/imovel/lote-terreno-rea-0-quartos-venda-vila-joao-luiz-de-oliveira-anapolis-go-rua-06-896374
"ALAMEDA DOS LIRIOS, RESIDENCIAL SUN FLOWER, ANAPOLIS",,Venda Casa 325 m²,325.0,4.0,,,1700000.0,https://www.62imoveis.com.br/imovel/casa-4-quartos-venda-residencial-sun-flower-anapolis-go-alameda-dos-lirios-1135827
"Rua 15, SETOR OESTE, GOIANIA",SETOR OESTE,Venda Apartamento 72 m²,72.0,2.0,,,398000.0,https://www.62imoveis.com.br/imovel/apartamento-2-quartos-venda-setor-oeste-goiania-go-rua-15-1116953
"Rua CONDE MATARAZZO, SETOR SANTOS DUMONT, GOIANIA",SETOR SANTOS DUMONT,Venda Casa 88 m²,88.0,2.0,,,350000.0,https://www.62imoveis.com.br/imovel/casa-2-quartos-venda-setor-santos-dumont-goiania-go-rua-conde-matarazzo-1065582
"AVENIDA JOAQUIM PEDRO DIAS, GOIA 2, GOIANIA",,Venda Casa 120 m²,120.0,3.0,,,495000.0,https://www.62imoveis.com.br/imovel/casa-3-quartos-venda-goia-2-goiania-go-avenida-joaquim-pedro-dias-1085424
"Rua 135, SETOR MARISTA, GOIANIA",SETOR MARISTA,Venda Apartamento 159 m²,159.0,4.0,,,1500000.0,https://www.62imoveis.com.br/imovel/apartamento-4-quartos-venda-setor-marista-goiania-go-rua-135-1149560
"Rua T 30, SETOR BUENO, GOIANIA",SETOR BUENO,Venda Casa 180 m²,180.0,4.0,,,990000.0,https://www.62imoveis.com.br/imovel/casa-4-quartos-venda-setor-bueno-goiania-go-rua-t-30-1150621
"Rua Presidente Kennedy, JUNDIAI, ANAPOLIS",,Venda Apartamento 164 m²,164.0,4.0,,,1260000.0,https://www.62imoveis.com.br/imovel/apartamento-4-quartos-venda-jundiai-anapolis-go-rua-presidente-kennedy-1143851
"Rua DESEMBARGADOR ELADIO AMORIM, VILA ROSA, GOIANIA",,Venda Apartamento 75 m²,75.0,3.0,,,389900.0,https://www.62imoveis.com.br/imovel/apartamento-3-quartos-venda-vila-rosa-goiania-go-rua-desembargador-eladio-amorim-1179784
"AVENIDA GOIAS, SETOR CRIMEIA OESTE, GOIANIA",SETOR CRIMEIA OESTE,Venda Apartamento 78 m²,78.0,3.0,,,132000.0,https://www.62imoveis.com.br/imovel/apartamento-3-quartos-venda-setor-crimeia-oeste-goiania-go-avenida-goias-1178029
"2ª AVENIDA RADIAL, SETOR PEDRO LUDOVICO, GOIANIA",SETOR PEDRO LUDOVICO,Venda Casa 585 m²,585.0,3.0,,,2300000.0,https://www.62imoveis.com.br/imovel/casa-3-quartos-venda-setor-pedro-ludovico-goiania-go-2-avenida-radial-1182213
"Rua  GT 22, CONDOMINIO RESIDENCIAL GRAND TRIANON, ANAPOLIS",,Venda Casa 235 m²,235.0,4.0,,,2300000.0,https://www.62imoveis.com.br/imovel/casa-4-quartos-venda-condominio-residencial-grand-trianon-anapolis-go-rua--gt-22-1138719
"PRACA BARTOLOMEU DE GUSMAO, JUNDIAI, ANAPOLIS",,Venda Apartamento 130 m²,130.0,3.0,,,500000.0,https://www.62imoveis.com.br/imovel/apartamento-3-quartos-venda-jundiai-anapolis-go-praca-bartolomeu-de-gusmao-1138714
"Rua ORTITA, SETOR PONTAL SUL, APARECIDA DE GOIANIA",SETOR PONTAL SUL,Venda Casa 117 m²,117.0,3.0,,,480000.0,https://www.62imoveis.com.br/imovel/casa-3-quartos-venda-setor-pontal-sul-aparecida-de-goiania-go-rua-ortita-1144107
"AVENIDA DONA ELVIRA, VILA SANTA MARIA DE NAZARETH, ANAPOLIS",,Venda Casa 180 m²,180.0,3.0,,,550000.0,https://www.62imoveis.com.br/imovel/casa-3-quartos-venda-vila-santa-maria-de-nazareth-anapolis-go-avenida-dona-elvira-1137104
"Rua A. RODRIGUES, SANTO ANDRE, ANAPOLIS",,Venda Casa 231 m²,231.0,3.0,,,850000.0,https://www.62imoveis.com.br/imovel/casa-3-quartos-venda-santo-andre-anapolis-go-rua-a-rodrigues-1130277
"Rua MARECHAL FLORIANO, PARQUE ANHANGUERA, GOIANIA",,Venda Casa Condominio 268 m²,268.0,4.0,,,1250000.0,https://www.62imoveis.com.br/imovel/casa-condominio-4-quartos-venda-parque-anhanguera-goiania-go-rua-marechal-floriano-1040826
"Rua 08, BOA VISTA, ANAPOLIS",,Venda Apartamento 62 m²,62.0,2.0,,,79000.0,https://www.62imoveis.com.br/imovel/apartamento-2-quartos-venda-boa-vista-anapolis-go-rua-08-1152628
"TEREZOPOLIS DE GOIAS, TEREZOPOLIS DE GOIAS, TEREZOPOLIS DE GOIAS",,"Venda Rural 0,02 ha",,,,,900000.0,https://www.62imoveis.com.br/imovel/rural-0-quartos-venda-terezopolis-de-goias-terezopolis-de-goias-go-terezopolis-de-goias-905226
"Rua ALIPIO JUNQUEIRA, SETOR SERRA DOURADA, APARECIDA DE GOIANIA",SETOR SERRA DOURADA,Venda Casa 117 m²,117.0,3.0,,,490000.0,https://www.62imoveis.com.br/imovel/casa-3-quartos-venda-setor-serra-dourada-aparecida-de-goiania-go-rua-alipio-junqueira-931659
"Rua S 06, SETOR BELA VISTA, GOIANIA",SETOR BELA VISTA,Venda Apartamento 76 m²,76.0,2.0,,,430000.0,https://www.62imoveis.com.br/imovel/apartamento-2-quartos-venda-setor-bela-vista-goiania-go-rua-s-06-1111013
