titulo,bairro,descricao,m2,quartos,banheiros,garagem,valor,link
"Rua T 28, SETOR BUENO, GOIANIA",SETOR BUENO,Venda Apartamento 98 m²,98.0,3.0,,,930000.0,https://www.62imoveis.com.br/imovel/apartamento-3-quartos-venda-setor-bueno-goiania-go-rua-t-28-1179331
"Rua B 06 A, PARQUE DAS LARANJEIRAS, GOIANIA",,Venda Casa Condominio 113 m²,113.0,3.0,,,750000.0,https://www.62imoveis.com.br/imovel/casa-condominio-3-quartos-venda-parque-das-laranjeiras-goiania-go-rua-b-06-a-998583
"Rua DOS BABACUS, RESIDENCIAL ALDEIA DO VALE, GOIANIA",,Venda Casa Condominio 714 m²,714.0,7.0,,,14200000.0,https://www.62imoveis.com.br/imovel/casa-condominio-4-quartos-venda-residencial-aldeia-do-vale-goiania-go-rua-dos-babacus-996634
"AVENIDA S 0004, ANAPOLIS CITY, ANAPOLIS",,Venda Casa 180 m²,180.0,3.0,,,1100000.0,https://www.62imoveis.com.br/imovel/casa-3-quartos-venda-anapolis-city-anapolis-go-avenida-s-0004-1097082
"Rua 07, SETOR OESTE, GOIANIA",SETOR OESTE,Venda Apartamento 121 m²,121.0,3.0,,,1080000.0,https://www.62imoveis.com.br/imovel/apartamento-3-quartos-venda-setor-oeste-goiania-go-rua-07-1094787
"Rua 1, RESIDENCIAL VALE DO SOL, ANAPOLIS",,Venda Casa 127 m²,127.0,3.0,,,570000.0,https://www.62imoveis.com.br/imovel/casa-3-quartos-venda-residencial-vale-do-sol-anapolis-go-rua-1-1104616
"Quadra 16, JARDIM QUERENCIA, AGUAS LINDAS DE GOIAS",,"Venda Rural 0,10 ha",,,,,1350000.0,https://www.62imoveis.com.br/imovel/rural-0-quartos-venda-jardim-querencia-aguas-lindas-de-goias-go-quadra-16-1156720
"Rua Pommard, JARDINS FRANCA, GOIANIA",,Venda Casa Condominio 369 m²,369.0,4.0,,,4500000.0,https://www.62imoveis.com.br/imovel/casa-condominio-4-quartos-venda-jardins-franca-goiania-go-rua-pommard-1156840
"ESTANCIA PARAISO, ALTO PARAISO DE GOIAS, ALTO PARAISO DE GOIAS",,Venda Hotel Flat 300 m²,300.0,8.0,,,2000000.0,https://www.62imoveis.com.br/imovel/hotel-flat-4-quartos-venda-alto-paraiso-de-goias-alto-paraiso-de-goias-go-estancia-paraiso-1157007
"Rua T 51, SETOR BUENO, GOIANIA",SETOR BUENO,Venda Apartamento 65 m²,65.0,2.0,,,640000.0,https://www.62imoveis.com.br/imovel/apartamento-2-quartos-venda-setor-bueno-goiania-go-rua-t-51-830667
"AVENIDA RIO VERDE, SETOR DOS AFONSOS, APARECIDA DE GOIANIA",SETOR DOS AFONSOS,Venda Apartamento 58 m²,58.0,2.0,,,160000.0,https://www.62imoveis.com.br/imovel/apartamento-2-quartos-venda-setor-dos-afonsos-aparecida-de-goiania-go-avenida-rio-verde-1126183
"Rua 1138, SETOR MARISTA, GOIANIA",SETOR MARISTA,Venda Apartamento 121 m²,121.0,3.0,,,1400000.0,https://www.62imoveis.com.br/imovel/apartamento-3-quartos-venda-setor-marista-goiania-go-rua-1138-1094835
"Rua CAMILO FLAMARION, SERRINHA, GOIANIA",,Venda Apartamento 75 m²,75.0,2.0,,,620000.0,https://www.62imoveis.com.br/imovel/apartamento-2-quartos-venda-serrinha-goiania-go-rua-camilo-flamarion-1121885
"Rua T 55, SETOR MARISTA, GOIANIA",SETOR MARISTA,Venda Apartamento 34 m²,34.0,1.0,,,450000.0,https://www.62imoveis.com.br/imovel/apartamento-1-quarto-venda-setor-marista-goiania-go-rua-t-55-1114856
"Rua 1124, SETOR MARISTA, GOIANIA",SETOR MARISTA,Venda Apartamento 125 m²,125.0,3.0,,,1599990.0,https://www.62imoveis.com.br/imovel/apartamento-3-quartos-venda-setor-marista-goiania-go-rua-1124-1178117
"Rua CASIMIRO DE ABREU, ANHANGUERA, GOIANIA",,Venda Casa 190 m²,190.0,3.0,,,600000.0,https://www.62imoveis.com.br/imovel/casa-3-quartos-venda-anhanguera-goiania-go-rua-casimiro-de-abreu-1106869
"Rua 1013, SETOR PEDRO LUDOVICO, GOIANIA",SETOR PEDRO LUDOVICO,Venda Apartamento 66 m²,66.0,2.0,,,565000.0,https://www.62imoveis.com.br/imovel/apartamento-2-quartos-venda-setor-pedro-ludovico-goiania-go-rua-1013-1181775
"Rua 06, SETOR OESTE, GOIANIA",SETOR OESTE,Venda Apartamento 130 m²,130.0,3.0,,,850000.0,https://www.62imoveis.com.br/imovel/apartamento-3-quartos-venda-setor-oeste-goiania-go-rua-06-1182038
"Rua C 139, SETOR NOVA SUICA, GOIANIA",SETOR NOVA SUICA,Venda Casa 363 m²,363.0,4.0,,,1670000.0,https://www.62imoveis.com.br/imovel/casa-4-quartos-venda-setor-nova-suica-goiania-go-rua-c-139-1153571
"Rua 8, RESIDENCIAL VALE DO SOL, ANAPOLIS",,Venda Casa 105 m²,105.0,3.0,,,370000.0,https://www.62imoveis.com.br/imovel/casa-3-quartos-venda-residencial-vale-do-sol-anapolis-go-rua-8-1113272
"GUAPO, GUAPO, GUAPO",,"Venda Rural 9,14 ha",,,,,1095000.0,https://www.62imoveis.com.br/imovel/rural-0-quartos-venda-guapo-guapo-go-guapo-1004002
"Rua C 38, JARDIM AMERICA, GOIANIA",,Venda Casa 450 m²,450.0,4.0,,,930000.0,https://www.62imoveis.com.br/imovel/casa-4-quartos-venda-jardim-america-goiania-go-rua-c-38-938853
"RODOVIA GO 020, FAZENDA VAU DAS POMBAS, GOIANIA",,Venda Casa 378 m²,378.0,4.0,,,3500000.0,https://www.62imoveis.com.br/imovel/casa-4-quartos-venda-fazenda-vau-das-pombas-goiania-go-rodovia-go-020-1113222
"Rua T 36 ATE 3879 LADO IMPAR, SETOR BUENO, GOIANIA",SETOR BUENO,Venda Apartamento 82 m²,82.0,2.0,,,980000.0,https://www.62imoveis.com.br/imovel/apartamento-2-quartos-venda-setor-bueno-goiania-go-rua-t-36-ate-3879-lado-impar-1054545
"Rua T 71, SETOR BUENO, GOIANIA",SETOR BUENO,Venda Apartamento 260 m²,260.0,4.0,,,2989000.0,https://www.62imoveis.com.br/imovel/apartamento-4-quartos-venda-setor-bueno-goiania-go-rua-t-71-969921
"Rua 53, JARDIM GOIAS, GOIANIA",,Venda Apartamento 64 m²,64.0,2.0,,,395000.0,https://www.62imoveis.com.br/imovel/apartamento-2-quartos-venda-jardim-goias-goiania-go-rua-53-1132255
"Rua JOAQUIM PORTUGAL, SETOR MAYSA EXTENSAO, GOIANIA",SETOR MAYSA EXTENSAO,Venda Galpão 2 m²,2.0,,,,120000.0,https://www.62imoveis.com.br/imovel/galpo-0-quartos-venda-setor-maysa-extensao-goiania-go-rua-joaquim-portugal-1165373
"ALAMEDA JUAZEIRO DO NORTE, PARQUE AMAZONIA, GOIANIA",,Venda Casa Condominio 184 m²,184.0,3.0,,,1290000.0,https://www.62imoveis.com.br/imovel/casa-condominio-3-quartos-venda-parque-amazonia-goiania-go-alameda-juazeiro-do-norte-1110120
"Passagem Pedestres, JARDINS SEVILHA, APARECIDA DE GOIANIA",,Venda Casa Condominio 285 m²,285.0,3.0,,,2650000.0,https://www.62imoveis.com.br/imovel/casa-condominio-3-quartos-venda-jardins-sevilha-aparecida-de-goiania-go-passagem-pedestres-1168619
"Rua CARAXUE, PARQUE AMAZONIA, GOIANIA",,Venda Casa 374 m²,374.0,4.0,,,599000.0,https://www.62imoveis.com.br/imovel/casa-4-quartos-venda-parque-amazonia-goiania-go-rua-caraxue-1066354
"Rua dos Angelins, JARDINS BOLONHA, SENADOR CANEDO",,Venda Casa Condominio 164 m²,164.0,3.0,,,1200000.0,https://www.62imoveis.com.br/imovel/casa-condominio-3-quartos-venda-jardins-bolonha-senador-canedo-go-rua-dos-angelins-1005167
"AVENIDA ATLANTICA, JARDIM TROPICAL, APARECIDA DE GOIANIA",,Venda Casa 125 m²,125.0,3.0,,,650000.0,https://www.62imoveis.com.br/imovel/casa-3-quartos-venda-jardim-tropical-aparecida-de-goiania-go-avenida-atlantica-1153883
"AVENIDA FLORESTA, RESIDENCIAL ALDEIA DO VALE, GOIANIA",,Venda Casa Condominio 280 m²,280.0,3.0,,,3600000.0,https://www.62imoveis.com.br/imovel/casa-condominio-3-quartos-venda-residencial-aldeia-do-vale-goiania-go-avenida-floresta-1072441
"Avenida Copacabana, JARDIM ATLANTICO, GOIANIA",,Venda Apartamento 72 m²,72.0,2.0,,,780000.0,https://www.62imoveis.com.br/imovel/apartamento-2-quartos-venda-jardim-atlantico-goiania-go-avenida-copacabana-1138522
"CABECEIRAS, CABECEIRAS, CABECEIRAS",,"Venda Rural 0,03 ha",,,,,2500000.0,https://www.62imoveis.com.br/imovel/rural-0-quartos-venda-cabeceiras-cabeceiras-go-cabeceiras-1110477
"AVENIDA T 5 ATE 1501 LADO IMPAR, SETOR BUENO, GOIANIA",SETOR BUENO,Venda Apartamento 120 m²,120.0,3.0,,,700000.0,https://www.62imoveis.com.br/imovel/apartamento-3-quartos-venda-setor-bueno-goiania-go-avenida-t-5-ate-1501-lado-impar-579180
"Rua CASTRO ALVES, VILA REZENDE, GOIANIA",,Venda Casa 240 m²,240.0,3.0,,,980000.0,https://www.62imoveis.com.br/imovel/casa-3-quartos-venda-vila-rezende-goiania-go-rua-castro-alves-1119790
"Avenida Diogenes Dolival Sampaio, JARDINS MUNIQUE, GOIANIA",,Venda Lote/Terreno/Área 900 m²,900.0,,,,3500000.0,https://www.62imoveis.com.br/imovel/lote-terreno-rea-0-quartos-venda-jardins-munique-goiania-go-avenida-diogenes-dolival-sampaio-1149864
"Rua L, JARDIM DAS SAMAMBAIAS, ANAPOLIS",,Venda Casa 180 m²,180.0,3.0,,,950000.0,https://www.62imoveis.com.br/imovel/casa-3-quartos-venda-jardim-das-samambaias-anapolis-go-rua-l-1001100
"Rua 31, SETOR OESTE, GOIANIA",SETOR OESTE,Venda Apartamento 83 m²,83.0,3.0,,,499000.0,https://www.62imoveis.com.br/imovel/apartamento-3-quartos-venda-setor-oeste-goiania-go-rua-31-902945
"AVENIDA UNIVERSITARIA, JARDIM DAS AMERICAS 2 ETAPA, ANAPOLIS",,Venda Hotel Flat 37 m²,37.0,1.0,,,350000.0,https://www.62imoveis.com.br/imovel/hotel-flat-1-quarto-venda-jardim-das-americas-2-etapa-anapolis-go-avenida-universitaria-1104615
"Rua VALLE GRANDE, SETOR TRES MARIAS, GOIANIA",SETOR TRES MARIAS,Venda Casa 180 m²,180.0,3.0,,,630000.0,https://www.62imoveis.com.br/imovel/casa-3-quartos-venda-setor-tres-marias-goiania-go-rua-valle-grande-1029750
"AVENIDA CONTORNO, RESIDENCIAL BELA VISTA, ANAPOLIS",,Venda Apartamento 52 m²,52.0,2.0,,,240000.0,https://www.62imoveis.com.br/imovel/apartamento-2-quartos-venda-residencial-bela-vista-anapolis-go-avenida-contorno-1003645
"Rua 1124, SETOR MARISTA, GOIANIA",SETOR MARISTA,Venda Apartamento 154 m²,154.0,3.0,,,1750000.0,https://www.62imoveis.com.br/imovel/apartamento-3-quartos-venda-setor-marista-goiania-go-rua-1124-1054692
"AVENIDA ANTONIO FIDELIS, PARQUE AMAZONIA, GOIANIA",,Venda Apartamento 48 m²,48.0,1.0,,,425000.0,https://www.62imoveis.com.br/imovel/apartamento-1-quarto-venda-parque-amazonia-goiania-go-avenida-antonio-fidelis-1139126
"Rua DO MARISCO, JARDIM ATLANTICO, GOIANIA",,Venda Casa 147 m²,147.0,3.0,,,740000.0,https://www.62imoveis.com.br/imovel/casa-3-quartos-venda-jardim-atlantico-goiania-go-rua-do-marisco-1051259
"Rua T 36 ATE 3879 LADO IMPAR, SETOR BUENO, GOIANIA",SETOR BUENO,Venda Apartamento 112 m²,112.0,3.0,,,590000.0,https://www.62imoveis.com.br/imovel/apartamento-3-quartos-venda-setor-bueno-goiania-go-rua-t-36-ate-3879-lado-impar-1169965
"Rua CEDRO, SANTA GENOVEVA, GOIANIA",,Venda Casa 172 m²,172.0,3.0,,,1030000.0,https://www.62imoveis.com.br/imovel/casa-3-quartos-venda-santa-genoveva-goiania-go-rua-cedro-1009210
"Rua C 238, JARDIM AMERICA, GOIANIA",,Venda Apartamento 274 m²,274.0,4.0,,,3150000.0,https://www.62imoveis.com.br/imovel/apartamento-4-quartos-venda-jardim-america-goiania-go-rua-c-238-1178207
"TRINDADE, TRINDADE, TRINDADE",,"Venda Rural 0,40 ha",,10.0,,,795000.0,https://www.62imoveis.com.br/imovel/rural-4-quartos-venda-trindade-trindade-go-trindade-1004112
"Rua MDV 19, MOINHO DOS VENTOS, GOIANIA",,Venda Casa 180 m²,180.0,3.0,,,1250000.0,https://www.62imoveis.com.br/imovel/casa-3-quartos-venda-moinho-dos-ventos-goiania-go-rua-mdv-19-1029675
"Rua 56, JARDIM GOIAS, GOIANIA",,Venda Apartamento 270 m²,270.0,4.0,,,2950000.0,https://www.62imoveis.com.br/imovel/apartamento-4-quartos-venda-jardim-goias-goiania-go-rua-56-1103962
"Rua JAMUNDA, JARDIM MONT SERRAT, APARECIDA DE GOIANIA",,Venda Casa 174 m²,174.0,3.0,,,650000.0,https://www.62imoveis.com.br/imovel/casa-3-quartos-venda-jardim-mont-serrat-aparecida-de-goiania-go-rua-jamunda-1029736
"RODOVIA GO 020, FAZENDA VAU DAS POMBAS, GOIANIA",,Venda Casa Condominio 299 m²,299.0,4.0,,,2900000.0,https://www.62imoveis.com.br/imovel/casa-condominio-4-quartos-venda-fazenda-vau-das-pombas-goiania-go-rodovia-go-020-1179320
"Rua COMENDADOR ASSAD ABDALLA, VILA MARIANA, APARECIDA DE GOIANIA",,Venda Casa 110 m²,110.0,3.0,,,700000.0,https://www.62imoveis.com.br/imovel/casa-3-quartos-venda-vila-mariana-aparecida-de-goiania-go-rua-comendador-assad-abdalla-1116223
"Rua JV 16, RESIDENCIAL JARDIM VENEZA, SENADOR CANEDO",,Venda Lote/Terreno/Área 360 m²,360.0,,,,235000.0,https://www.62imoveis.com.br/imovel/lote-terreno-rea-0-quartos-venda-residencial-jardim-veneza-senador-canedo-go-rua-jv-16-490284
"ESTANCIA PARAISO, ALTO PARAISO DE GOIAS, ALTO PARAISO DE GOIAS",,Venda Casa 203 m²,203.0,5.0,,,749000.0,https://www.62imoveis.com.br/imovel/casa-4-quartos-venda-alto-paraiso-de-goias-alto-paraiso-de-goias-go-estancia-paraiso-1142339
"AVENIDA PAISSANDU, JARDIM CRISTAL, APARECIDA DE GOIANIA",,Venda Casa Condominio 152 m²,152.0,3.0,,,1500000.0,https://www.62imoveis.com.br/imovel/casa-condominio-3-quartos-venda-jardim-cristal-aparecida-de-goiania-go-avenida-paissandu-822106
"Rua UBERABA, CARDOSO, APARECIDA DE GOIANIA",,Venda Casa 126 m²,126.0,3.0,,,550000.0,https://www.62imoveis.com.br/imovel/casa-3-quartos-venda-cardoso-aparecida-de-goiania-go-rua-uberaba-1156517
"RUA CARAIBA, VILA BRASILIA, APARECIDA DE GOIANIA",,Venda Casa 144 m²,144.0,3.0,,,860000.0,https://www.62imoveis.com.br/imovel/casa-3-quartos-venda-vila-brasilia-aparecida-de-goiania-go-rua-caraiba-840078
"Rua T 37 ATE 4088 LADO PAR, SETOR BUENO, GOIANIA",SETOR BUENO,Venda Apartamento 180 m²,180.0,3.0,,,900000.0,https://www.62imoveis.com.br/imovel/apartamento-3-quartos-venda-setor-bueno-goiania-go-rua-t-37-ate-4088-lado-par-1070974
"Rodovia BR 060 Km 22 Outlet Premium Brasília, ALEXANIA, ALEXANIA",,"Venda Rural 14,56 ha",,,,,1600000.0,https://www.62imoveis.com.br/imovel/rural-0-quartos-venda-alexania-alexania-go-rodovia-br-060-km-22-outlet-premium-brasilia-1068526
"Rua OSORIO ARANTES, VILA MARIA, APARECIDA DE GOIANIA",,Venda Casa Condominio 100 m²,100.0,3.0,,,530000.0,https://www.62imoveis.com.br/imovel/casa-condominio-3-quartos-venda-vila-maria-aparecida-de-goiania-go-rua-osorio-arantes-1110921
"Rua 14, SETOR OESTE, GOIANIA",SETOR OESTE,Venda Apartamento 68 m²,68.0,2.0,,,949000.0,https://www.62imoveis.com.br/imovel/apartamento-2-quartos-venda-setor-oeste-goiania-go-rua-14-1136272
"Rua T 28, SETOR BUENO, GOIANIA",SETOR BUENO,Venda Apartamento 67 m²,67.0,2.0,,,750000.0,https://www.62imoveis.com.br/imovel/apartamento-2-quartos-venda-setor-bueno-goiania-go-rua-t-28-1130140
"Rua T 51, SETOR BUENO, GOIANIA",SETOR BUENO,Venda Apartamento 149 m²,149.0,4.0,,,1250000.0,https://www.62imoveis.com.br/imovel/apartamento-4-quartos-venda-setor-bueno-goiania-go-rua-t-51-1178217
"Rua C 235, SETOR NOVA SUICA, GOIANIA",SETOR NOVA SUICA,Venda Apartamento 109 m²,109.0,3.0,,,905000.0,https://www.62imoveis.com.br/imovel/apartamento-3-quartos-venda-setor-nova-suica-goiania-go-rua-c-235-1064025
"AVENIDA NOVA PONTE, CARDOSO, APARECIDA DE GOIANIA",,Venda Casa 150 m²,150.0,3.0,,,670000.0,https://www.62imoveis.com.br/imovel/casa-3-quartos-venda-cardoso-aparecida-de-goiania-go-avenida-nova-ponte-1100241
"Estrada  Municipal Ans 08, RESIDENCIAL CIDADE INDUSTRIAL, ANAPOLIS",,Venda Kitnet 25 m²,25.0,1.0,,,250000.0,https://www.62imoveis.com.br/imovel/kitnet-1-quarto-venda-residencial-cidade-industrial-anapolis-go-estrada--municipal-ans-08-1100125
"Rua 07, SETOR OESTE, GOIANIA",SETOR OESTE,Venda Apartamento 127 m²,127.0,3.0,,,1260000.0,https://www.62imoveis.com.br/imovel/apartamento-3-quartos-venda-setor-oeste-goiania-go-rua-07-1030790
"ALAMEDA DOS BURITIS, SETOR CENTRAL, GOIANIA",SETOR CENTRAL,Venda Apartamento 330 m²,330.0,5.0,,,1580000.0,https://www.62imoveis.com.br/imovel/apartamento-4-quartos-venda-setor-central-goiania-go-alameda-dos-buritis-1177978
"Area Rural, ZONA RURAL, SANTO ANTONIO DO DESCOBERTO",,Venda Lote/Terreno/Área 1 m²,1.0,,,,600000.0,https://www.62imoveis.com.br/imovel/lote-terreno-rea-0-quartos-venda-zona-rural-santo-antonio-do-descoberto-go-area-rural-785020
"AVENIDA ABAETE, SETOR FAICALVILLE, GOIANIA",SETOR FAICALVILLE,Venda Casa 221 m²,221.0,3.0,,,1095000.0,https://www.62imoveis.com.br/imovel/casa-3-quartos-venda-setor-faicalville-goiania-go-avenida-abaete-1000076
"Rua CN8, PARQUE CIDADE, GOIANIA",,Venda Lote/Terreno/Área 650 m²,650.0,,,,1443000.0,https://www.62imoveis.com.br/imovel/lote-terreno-rea-0-quartos-venda-parque-cidade-goiania-go-rua-cn8-1117666
"Rua T 28, SETOR BUENO, GOIANIA",SETOR BUENO,Venda Apartamento 98 m²,98.0,3.0,,,845000.0,https://www.62imoveis.com.br/imovel/apartamento-3-quartos-venda-setor-bueno-goiania-go-rua-t-28-1140339
"AVENIDA ADERUP, VILA NOVA CANAA, GOIANIA",,Venda Sala 266 m²,266.0,,,,1050000.0,https://www.62imoveis.com.br/imovel/sala-0-quartos-venda-vila-nova-canaa-goiania-go-avenida-aderup-1112861
"Rua 83, SETOR SUL, GOIANIA",SETOR SUL,Venda Lote/Terreno/Área 1100 m²,1100.0,,,,2000000.0,https://www.62imoveis.com.br/imovel/lote-terreno-rea-0-quartos-venda-setor-sul-goiania-go-rua-83-1054653
"Rua 17 A, SETOR AEROPORTO, GOIANIA",SETOR AEROPORTO,Venda Apartamento 115 m²,115.0,3.0,,,325000.0,https://www.62imoveis.com.br/imovel/apartamento-3-quartos-venda-setor-aeroporto-goiania-go-rua-17-a-1128302
"Rua T 30, SETOR BUENO, GOIANIA",SETOR BUENO,Venda Apartamento 88 m²,88.0,3.0,,,525000.0,https://www.62imoveis.com.br/imovel/apartamento-3-quartos-venda-setor-bueno-goiania-go-rua-t-30-887763
"Rua 52, JARDIM GOIAS, GOIANIA",,Venda Apartamento 79 m²,79.0,2.0,,,1500000.0,https://www.62imoveis.com.br/imovel/apartamento-2-quartos-venda-jardim-goias-goiania-go-rua-52-1164767
"Rua Campane, JARDINS PARMA, SENADOR CANEDO",,Venda Casa Condominio 160 m²,160.0,3.0,,,1200000.0,https://www.62imoveis.com.br/imovel/casa-condominio-3-quartos-venda-jardins-parma-senador-canedo-go-rua-campane-973082
"AVENIDA CAROLINA CANDIDA CABRAL, CAROLINA PARQUE, GOIANIA",,Venda Sala 60 m²,60.0,2.0,,,423000.0,https://www.62imoveis.com.br/imovel/sala-2-quartos-venda-carolina-parque-goiania-go-avenida-carolina-candida-cabral-1136669
"Rua DESEMBARGADOR ELADIO AMORIM, VILA ROSA, GOIANIA",,Venda Sala 1 m²,1.0,,,,1780000.0,https://www.62imoveis.com.br/imovel/sala-0-quartos-venda-vila-rosa-goiania-go-rua-desembargador-eladio-amorim-1086354
"AVENIDA T 12, SETOR BUENO, GOIANIA",SETOR BUENO,Venda Apartamento 242 m²,242.0,4.0,,,1290000.0,https://www.62imoveis.com.br/imovel/apartamento-4-quartos-venda-setor-bueno-goiania-go-avenida-t-12-980517
"AVENIDA PERIMETRAL SUL, ANAPOLIS CITY, ANAPOLIS",,Venda Casa 215 m²,215.0,3.0,,,1450000.0,https://www.62imoveis.com.br/imovel/casa-3-quartos-venda-anapolis-city-anapolis-go-avenida-perimetral-sul-1074874
"Rua MDV 7, MOINHO DOS VENTOS, GOIANIA",,Venda Casa 216 m²,216.0,4.0,,,1280000.0,https://www.62imoveis.com.br/imovel/casa-4-quartos-venda-moinho-dos-ventos-goiania-go-rua-mdv-7-924794
"AVENIDA DIOGENES DOLIVAL SAMPAIO, JARDINS VALENCIA, GOIANIA",,Venda Casa Condominio 325 m²,325.0,4.0,,,2800000.0,https://www.62imoveis.com.br/imovel/casa-condominio-4-quartos-venda-jardins-valencia-goiania-go-avenida-diogenes-dolival-sampaio-1171660
"Rua 27, BOA VISTA, ANAPOLIS",,Venda Casa 250 m²,250.0,3.0,,,600000.0,https://www.62imoveis.com.br/imovel/casa-3-quartos-venda-boa-vista-anapolis-go-rua-27-577163
"Rua TEREZINHA, JARDIM DAS ESMERALDAS, GOIANIA",,Venda Casa 259 m²,259.0,3.0,,,880000.0,https://www.62imoveis.com.br/imovel/casa-3-quartos-venda-jardim-das-esmeraldas-goiania-go-rua-terezinha-931225
"AVENIDA E, JARDIM GOIAS, GOIANIA",,Venda Apartamento 108 m²,108.0,3.0,,,550000.0,https://www.62imoveis.com.br/imovel/apartamento-3-quartos-venda-jardim-goias-goiania-go-avenida-e-1112068
"Rua ECOCATU, JARDIM HELVECIA, APARECIDA DE GOIANIA",,Venda Casa 108 m²,108.0,4.0,,,700000.0,https://www.62imoveis.com.br/imovel/casa-4-quartos-venda-jardim-helvecia-aparecida-de-goiania-go-rua-ecocatu-1053040
"Rua T 37 ATE 4088 LADO PAR, SETOR BUENO, GOIANIA",SETOR BUENO,Venda Apartamento 161 m²,161.0,3.0,,,1880000.0,https://www.62imoveis.com.br/imovel/apartamento-3-quartos-venda-setor-bueno-goiania-go-rua-t-37-ate-4088-lado-par-1071079
"Rua GOIANIA, JARDIM ITAIPU, GOIANIA",,Venda Casa 180 m²,180.0,3.0,,,850000.0,https://www.62imoveis.com.br/imovel/casa-3-quartos-venda-jardim-itaipu-goiania-go-rua-goiania-1154510
"ALAMEDA DA REPUBLICA, SETOR JAO, GOIANIA",SETOR JAO,Venda Casa 210 m²,210.0,4.0,,,1030000.0,https://www.62imoveis.com.br/imovel/casa-4-quartos-venda-setor-jao-goiania-go-alameda-da-republica-916798
"AVENIDA UNIVERSITARIA, VILA SANTA ISABEL, ANAPOLIS",,Venda Apartamento 69 m²,69.0,2.0,,,550000.0,https://www.62imoveis.com.br/imovel/apartamento-2-quartos-venda-vila-santa-isabel-anapolis-go-avenida-universitaria-1135792
"AVENIDA DAS DALIAS, RESIDENCIAL DELLA PENNA, GOIANIA",,Venda Lote/Terreno/Área 35000 m²,35000.0,,,,9975000.0,https://www.62imoveis.com.br/imovel/lote-terreno-rea-0-quartos-venda-residencial-della-penna-goiania-go-avenida-das-dalias-1120131
"AVENIDA PERIMETRAL, SETOR COIMBRA, GOIANIA",SETOR COIMBRA,Venda Apartamento 90 m²,90.0,3.0,,,590000.0,https://www.62imoveis.com.br/imovel/apartamento-3-quartos-venda-setor-coimbra-goiania-go-avenida-perimetral-1103152
"Rua PB 7, PARQUE BRASILIA 2 ETAPA, ANAPOLIS",,Venda Casa 183 m²,183.0,3.0,,,1100000.0,https://www.62imoveis.com.br/imovel/casa-3-quartos-venda-parque-brasilia-2-etapa-anapolis-go-rua-pb-7-1088698
"Rua do Parque, JARDIM ATLANTICO, GOIANIA",,Venda Apartamento 106 m²,106.0,3.0,,,780000.0,https://www.62imoveis.com.br/imovel/apartamento-3-quartos-venda-jardim-atlantico-goiania-go-rua-do-parque-1133353
"AVENIDA SAO JOAO, ALTO DA GLORIA, GOIANIA",,Venda Apartamento 105 m²,105.0,4.0,,,540000.0,https://www.62imoveis.com.br/imovel/apartamento-4-quartos-venda-alto-da-gloria-goiania-go-avenida-sao-joao-713539
"Rua 07, JARDIM DAS AMERICAS 2 ETAPA, ANAPOLIS",,Venda Apartamento 79 m²,79.0,3.0,,,400000.0,https://www.62imoveis.com.br/imovel/apartamento-3-quartos-venda-jardim-das-americas-2-etapa-anapolis-go-rua-07-1097653
"AVENIDA PORTUGAL, SETOR OESTE, GOIANIA",SETOR OESTE,Venda Apartamento 123 m²,123.0,3.0,,,597000.0,https://www.62imoveis.com.br/imovel/apartamento-3-quartos-venda-setor-oeste-goiania-go-avenida-portugal-1082844
"Rua C, PARQUE ESPLANADA I, VALPARAISO DE GOIAS",,Venda Prédio 3700 m²,3700.0,,,,19000000.0,https://www.62imoveis.com.br/imovel/prdio-0-quartos-venda-parque-esplanada-i-valparaiso-de-goias-go-rua-c-775546
"Rua 1138, SETOR MARISTA, GOIANIA",SETOR MARISTA,Venda Apartamento 294 m²,294.0,3.0,,,2900000.0,https://www.62imoveis.com.br/imovel/apartamento-3-quartos-venda-setor-marista-goiania-go-rua-1138-1037523
"Rua P 5, PARQVILLE PINHEIROS, APARECIDA DE GOIANIA",,Venda Casa Condominio 157 m²,157.0,3.0,,,1450000.0,https://www.62imoveis.com.br/imovel/casa-condominio-3-quartos-venda-parqville-pinheiros-aparecida-de-goiania-go-rua-p-5-1098869
"Rua 52, JARDIM GOIAS, GOIANIA",,Venda Apartamento 203 m²,203.0,4.0,,,1800000.0,https://www.62imoveis.com.br/imovel/apartamento-4-quartos-venda-jardim-goias-goiania-go-rua-52-1034660
"Rua 82, SETOR SUL, GOIANIA",SETOR SUL,Venda Apartamento 540 m²,540.0,5.0,,,995000.0,https://www.62imoveis.com.br/imovel/apartamento-4-quartos-venda-setor-sul-goiania-go-rua-82-1044540
"Quadra 69, RESIDENCIAL VILLA SUICA, CIDADE OCIDENTAL",,Venda Casa Condominio 300 m²,300.0,3.0,,,749000.0,https://www.62imoveis.com.br/imovel/casa-condominio-3-quartos-venda-residencial-villa-suica-cidade-ocidental-go-quadra-69-1141454
"Rua RI 19, RESIDENCIAL ITAIPU, GOIANIA",,Venda Casa 188 m²,188.0,4.0,,,580000.0,https://www.62imoveis.com.br/imovel/casa-4-quartos-venda-residencial-itaipu-goiania-go-rua-ri-19-1144136
"Rua SB 01, LOTEAMENTO PORTAL DO SOL I, GOIANIA",,Venda Casa Condominio 300 m²,300.0,4.0,,,1790000.0,https://www.62imoveis.com.br/imovel/casa-condominio-4-quartos-venda-loteamento-portal-do-sol-i-goiania-go-rua-sb-01-1149069
