estado,cidade,bairro,tipo,m2,quartos,banheiros,garagem,mobilia,ano,valor
GO,Senador Canedo,CONDOMÍNIO VINHAS,Terreno,250.0,0,0,0,Nao,2020,320000.0
GO,Senador Canedo,CONDOMÍNIO VINHAS,Terreno,270.0,0,0,0,Nao,2020,345000.0
GO,Goiânia,FAZENDA VAU DAS POMBAS,Terreno,459.2,0,0,0,Nao,2020,750000.0
GO,Goiânia,SETOR MARISTA,Apartamento,157.0,3,1,3,Nao,2020,1962257.81
GO,Goiânia,SETOR MARISTA,Apartamento,149.0,3,4,2,Nao,2020,1820000.0
GO,Goiânia,SETOR BUENO,Apartamento,153.0,3,5,3,Nao,2020,1580000.0
GO,Goiânia,SETOR MARISTA,Apartamento,175.0,3,5,2,Nao,2020,1850000.0
GO,Goiânia,SETOR MARISTA,Apartamento,179.0,3,5,3,Nao,2020,1890000.0
GO,Goiânia,PARK LOZANDES,Apartamento,158.65,3,4,2,Nao,2020,1563000.0
GO,Goiânia,SETOR BUENO,Apartamento,202.0,4,6,3,Nao,2020,1700000.0
GO,Goiânia,JARDIM GOIÁS,Apartamento,169.1,3,4,3,Nao,2020,1850000.0
GO,Goiânia,ALTO DA GLÓRIA,Apartamento,153.0,3,5,2,1,2020,1546905.81
GO,Goiânia,SETOR BUENO,Apartamento,122.0,3,4,2,Nao,2020,1580000.0
GO,Goiânia,SETOR MARISTA,Apartamento,162.0,3,5,2,Nao,2020,1814844.14
GO,Goiânia,JARDIM GOIÁS,Apartamento,166.0,3,4,2,Nao,2020,1678280.75
GO,Goiânia,SETOR BUENO,Apartamento,187.0,3,5,2,Nao,2020,1900000.0
GO,Goiânia,SETOR BUENO,Apartamento,185.0,3,5,3,Nao,2020,1990000.0
GO,Goiânia,JARDIM AMÉRICA,Apartamento,178.11,5,5,3,Nao,2020,1673659.0
GO,Goiânia,JARDIM GOIÁS,Apartamento,174.0,3,4,0,Nao,2020,1730000.0
GO,Goiânia,SETOR MARISTA,Apartamento,160.0,3,5,3,Nao,2020,1790000.0
GO,Goiânia,JARDIM GOIÁS,Apartamento,177.0,3,5,2,Nao,2020,1777230.21
GO,Senador Canedo,RESIDENCIAL VILLA VERDE,Casa,256.0,4,4,6,Nao,2020,1250000.0
GO,Senador Canedo,JARDINS PORTO,Casa,257.0,3,4,4,Nao,2020,1500000.0
GO,Senador Canedo,JARDINS BOLONHA,Casa,158.0,3,3,4,Nao,2020,1190000.0
GO,Senador Canedo,JARDINS BOLONHA,Casa,164.0,3,4,4,Nao,2020,1350000.0
GO,Senador Canedo,RESIDENCIAL CONDOMÍNIO JARDIM VENEZA,Casa,195.0,3,4,4,Nao,2020,1350000.0
GO,Senador Canedo,JARDINS BOLONHA,Casa,158.0,3,3,4,Nao,2020,1250000.0
GO,Senador Canedo,JARDINS BOLONHA,Casa,160.0,3,4,4,Nao,2020,1150000.0
GO,Senador Canedo,JARDINS,Casa,219.71,3,5,0,Nao,2020,1500000.0
GO,Senador Canedo,TERRAS ALPHA RESIDENCIAL 2,Casa,156.21,3,4,0,Nao,2020,1119000.0
GO,Goiânia,SETOR BUENO,Apartamento,140.0,2,3,2,Nao,2020,2268040.76
GO,Goiânia,SETOR OESTE,Apartamento,184.14,4,4,0,Nao,2020,2184210.53
GO,Goiânia,JARDIM GOIÁS,Apartamento,255.0,4,6,0,Nao,2020,2932500.0
GO,Goiânia,SETOR MARISTA,Apartamento,260.0,4,5,0,Nao,2020,2620000.0
GO,Goiânia,SETOR MARISTA,Apartamento,263.0,4,5,3,1,2020,2650000.0
GO,Goiânia,JARDIM GOIÁS,Apartamento,228.0,4,5,3,Nao,2020,2700000.0
GO,Goiânia,SETOR BUENO,Apartamento,207.0,4,6,3,Nao,2020,2500000.0
GO,Goiânia,SETOR OESTE,Apartamento,185.0,3,5,3,Nao,2020,2200000.0
GO,Goiânia,SETOR OESTE,Apartamento,221.0,4,6,0,Nao,2020,2628000.0
GO,Goiânia,SETOR MARISTA,Apartamento,256.0,4,6,3,Nao,2020,2419055.27
GO,Goiânia,SETOR MARISTA,Apartamento,332.94,3,5,4,Nao,2020,3000000.0
GO,Goiânia,SETOR BUENO,Apartamento,262.0,4,5,3,Nao,2020,2837306.19
GO,Goiânia,SETOR MARISTA,Apartamento,256.0,4,6,3,Nao,2020,2419055.27
GO,Goiânia,SETOR BUENO,Apartamento,204.0,4,5,3,Nao,2020,2646729.93
GO,Goiânia,SETOR BUENO,Apartamento,255.07,4,5,0,Nao,2020,2969586.05
GO,Goiânia,SETOR MARISTA,Apartamento,217.0,3,5,0,Nao,2020,2170523.43
GO,Goiânia,SETOR MARISTA,Apartamento,260.51,4,6,4,Nao,2020,2450000.0
GO,Goiânia,SETOR MARISTA,Apartamento,164.0,3,5,1,Nao,2020,2008640.35
GO,Goiânia,SETOR OESTE,Apartamento,185.0,3,5,3,Nao,2020,2290000.0
GO,Goiânia,PARK LOZANDES,Apartamento,243.52,4,6,4,Nao,2020,2700000.0
GO,Goiânia,JARDIM GOIÁS,Apartamento,298.0,4,5,4,Nao,2020,2689086.75
GO,Goiânia,SETOR BUENO,Apartamento,208.0,4,6,0,Nao,2020,2687904.8
GO,Goiânia,PARK LOZANDES,Apartamento,291.52,5,5,4,Nao,2020,2263306.06
GO,Goiânia,SETOR MARISTA,Apartamento,227.64,4,6,3,Nao,2020,2197701.6
GO,Goiânia,LOTEAMENTO PORTAL DO SOL II,Casa,252.0,3,4,2,Nao,2020,1800000.0
GO,Aparecida de Goiânia,JARDIM CRISTAL,Casa,253.0,4,5,0,Nao,2020,1850000.0
GO,Goiânia,SETOR BUENO,Apartamento,266.0,4,7,3,Nao,2020,3290000.0
GO,Goiânia,SETOR MARISTA,Apartamento,244.0,3,5,3,Nao,2020,3080000.0
GO,Goiânia,SETOR BUENO,Apartamento,245.0,4,5,3,Nao,2020,3279214.46
GO,Goiânia,SETOR BUENO,Apartamento,223.31,4,4,0,Nao,2020,3203399.23
GOIÁS,GOIÂNIA,SETOR BUENO,Apartamento,260.0,4,6,3,Nao,2020,3190000.0
GO,Goiânia,SETOR MARISTA,Apartamento,390.0,4,5,3,Nao,2020,3800000.0
GO,Goiânia,SETOR MARISTA,Apartamento,270.1,4,6,5,Nao,2020,3363215.78
GO,Goiânia,SETOR MARISTA,Apartamento,287.0,4,6,0,Nao,2020,3690000.0
GO,Goiânia,SETOR MARISTA,Apartamento,299.0,4,6,4,Nao,2020,3036523.58
GO,Goiânia,SETOR MARISTA,Apartamento,320.12,4,4,0,Nao,2020,4200000.0
GO,Goiânia,SETOR OESTE,Apartamento,449.0,4,6,4,Nao,2020,4801332.01
GO,Goiânia,SETOR MARISTA,Apartamento,244.0,4,5,3,Nao,2020,4037546.16
GO,Goiânia,SETOR MARISTA,Apartamento,264.0,4,4,3,Nao,2020,4300000.0
GO,Goiânia,SETOR MARISTA,Apartamento,403.0,4,5,5,Nao,2020,5848329.4
GO,Goiânia,SETOR MARISTA,Apartamento,411.0,4,6,3,Nao,2020,7173389.73
GO,Goiânia,JARDIM GOIÁS,Apartamento,530.0,4,6,5,Nao,2020,8500000.0
GO,Goiânia,SETOR MARISTA,Apartamento,411.0,4,6,3,Nao,2020,5041049.06
GO,Goiânia,NOVA SUIÇA,Apartamento,482.0,5,7,4,1,2020,7315275.0
GO,Goiânia,SETOR BUENO,Apartamento,399.0,4,5,3,Nao,2020,8500000.0
GO,Goiânia,JARDINS VERONA,Casa,264.0,3,5,0,Nao,2020,2900000.0
GO,Goiânia,VILA ROSA,Casa,257.0,4,5,4,Nao,2020,2400000.0
GO,Goiânia,FAZENDA VAU DAS POMBAS,Casa,299.0,5,6,4,Nao,2020,2900000.0
GO,Goiânia,CONDOMÍNIO DO LAGO 1ª ETAPA,Casa,284.68,5,7,4,Nao,2020,2999999.0
GO,Goiânia,FAZENDA VAU DAS POMBAS,Casa,218.0,4,6,4,Nao,2020,2100000.0
GO,Senador Canedo,JARDINS,Casa,268.0,4,5,0,Nao,2020,2100000.0
GO,Senador Canedo,ESTÂNCIA VARGEM BONITA,Casa,306.0,4,6,4,Nao,2020,2300000.0
GO,Goiânia,FAZENDA VAU DAS POMBAS,Casa,337.0,4,6,0,Nao,2020,2864500.0
GO,Goiânia,JARDINS VERONA,Casa,220.0,4,5,0,Nao,2020,2500000.0
GO,Goiânia,FAZENDA VAU DAS POMBAS,Casa,320.0,4,5,4,Nao,2020,2800000.0
GO,Goiânia,JARDINS VERONA,Casa,250.0,4,6,4,Nao,2020,2900000.0
GO,Goiânia,LOTEAMENTO PORTAL DO SOL II,Casa,256.0,3,3,3,1,2020,2900000.0
GO,Goiânia,CONDOMÍNIO DO LAGO 1ª ETAPA,Casa,207.0,3,5,4,Nao,2020,3000000.0
GO,Goiânia,FAZENDA VAU DAS POMBAS,Casa,270.0,4,6,4,Nao,2020,2590000.0
